n_ocupacao,media_DP,var_DP,DP_DP
0,5.05176794950703,0.22959345691501537,0.47915911440252845
10,10.812273527209056,1.0417250507635487,1.0206493280081796
20,14.446447379213812,1.9676022672260696,1.4027124677659601
30,17.30389464804247,2.7655086469559036,1.6629818540669359
40,19.75577717335568,3.5210904473984557,1.8764568866346105
50,21.91520487456957,4.301790784864542,2.074075886958947
60,23.895142376429366,4.941197051895546,2.2228803503327716
70,25.72742890188474,6.09680856491211,2.469171635369261
80,27.429788575850477,6.764919928553657,2.600945968018878
90,29.026454292430778,7.326008089948033,2.7066599509262392
100,30.51755421045842,8.18061238011739,2.860176984054901
