n_ocupacao,media_MAE,var_MAE,DP_MAE
0,4.027216136487714,0.1631408352577118,0.4039069636162662
10,6.6327268371273185,0.4444826952457194,0.666695354150394
20,8.987550294928285,0.8253903716136171,0.9085099733154376
30,11.142273579156441,1.2594781208023311,1.1222647284853655
40,13.121885790109582,1.7369516834035017,1.3179346278945332
50,14.943577967245925,2.2466791571032267,1.4988926436216927
60,16.644020344667897,2.7756536743708153,1.6660293137789668
70,18.25533339958339,3.356475189857339,1.832068554901082
80,19.754936241719395,3.9131671376108508,1.9781726763887046
90,21.17126168235029,4.478035126766117,2.1161368402743044
100,22.500664639520224,5.064398912489911,2.250421940990158
