n_ocupacao,media_MAE,var_MAE,DP_MAE
0,2.854054976332147,0.08132029620635507,0.28516713731837173
10,6.329516197293516,0.4109464678769654,0.6410510649526802
20,9.35876657477203,0.9035243773528232,0.9505389930733106
30,12.028487950457006,1.4712610237223838,1.2129554912371614
40,14.4239326608526,2.1020999431131173,1.4498620427865256
50,16.548696132874102,2.753266671976836,1.6592970415139165
60,18.495677114128476,3.4337902630702613,1.8530489100588416
70,20.29349725695623,4.154245590401734,2.0381966515529686
80,21.910963936552605,4.827619351671691,2.1971844145796435
90,23.385301130997544,5.472258651401366,2.3392859276713835
100,24.727602271560446,6.117857377329478,2.47343028552039
