n_ocupacao,media_MSE,var_MSE,DP_MSE
0,25.749952872581478,6.9255239772523804,2.631639028676308
10,117.94698387794932,174.11009684337128,13.195078508420147
20,210.6674441476196,536.8513968385244,23.170053880785957
30,302.19027863750904,1039.1578193663279,32.23597089225525
40,393.8118221706798,1702.060886255858,41.256040603236
50,484.5779954792227,2544.0295792210536,50.438374073923654
60,575.9190262417266,3473.5133006204264,58.93651924418702
70,667.9974064664465,4745.27854869706,68.88598223657016
80,759.1582212444105,6012.084445036692,77.53763244410221
90,849.8610568805213,7457.863082865558,86.35892011173807
100,939.5017273683856,9132.608755741421,95.56468362183502
